artist,year,title,musicbrainz_id,cover_filename
Taylor Swift,2021,Fearless (Taylor’s Version),d2e4838d-90e1-471c-bda0-fd816dabb2d4,taylor_swift_2021_fearless_taylors_version.jpg
Taylor Swift,2021,Red (Taylor’s Version),67727253-f1c0-4243-9270-f9f1401c3b8c,taylor_swift_2021_red_taylors_version.jpg
Taylor Swift,2022,Midnights,0dcc84fb-c592-46e9-ba92-a52bb44dd553,taylor_swift_2022_midnights.jpg
Taylor Swift,2023,Speak Now (Taylor’s Version),0441b1b2-de57-4a9a-b007-1f6e159921d5,taylor_swift_2023_speak_now_taylors_version.jpg
Taylor Swift,2023,1989 (Taylor’s Version),1c4770b3-b7a3-4d44-a7a9-8e2dbb74b85a,taylor_swift_2023_1989_taylors_version.jpg
Taylor Swift,2024,Lover The Secret Studio Sessions,2a6b9e56-7314-4709-9dc7-924cdc300385,taylor_swift_2024_lover_the_secret_studio_sessions.jpg
Taylor Swift,2024,THE TORTURED POETS DEPARTMENT,71c3eed6-466c-4aef-ad12-65a36d19467a,taylor_swift_2024_the_tortured_poets_department.jpg
Taylor Swift,2024,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,8daa3881-8fbd-49e5-a71b-913171b73ed5,taylor_swift_2024_the_tortured_poets_department_the_anthol.jpg
Taylor Swift,2025,The Life of a Showgirl,9ae7e7e9-ac40-4874-bd43-d77a9bb9b617,taylor_swift_2025_the_life_of_a_showgirl.jpg
BTS,2014,DARK&WILD,ea958ad6-4519-44f8-8c7c-18b3f16218f4,bts_2014_dark_wild.jpg
BTS,2014,WAKE UP,75ec671d-bd15-4bfa-baeb-f6054d2202db,bts_2014_wake_up.jpg
BTS,2016,YOUTH,7b70f452-a540-4fc8-933e-3b1d6800e290,bts_2016_youth.jpg
BTS,2016,WINGS,ddbf733c-1182-42a2-9bae-059afcbc3b93,bts_2016_wings.jpg
BTS,2018,FACE YOURSELF,a3ed68fc-eb06-4c18-a61f-beb9f955337e,bts_2018_face_yourself.jpg
BTS,2018,LOVE YOURSELF 轉 ‘Tear’,bdc4aa4d-bfba-4ef1-b3b6-ffc68055877e,bts_2018_love_yourself_tear.jpg
BTS,2020,MAP OF THE SOUL : 7,728f288b-eb1c-4ce1-98a1-d4124c897aaf,bts_2020_map_of_the_soul_7.jpg
BTS,2020,MAP OF THE SOUL : 7 〜 THE JOURNEY 〜,3a91498a-4e50-4a77-93e2-a7b599b9739e,bts_2020_map_of_the_soul_7_the_journey.jpg
BTS,2020,BE,7917fe48-906d-464f-9909-0e4d18d59192,bts_2020_be.jpg
BTS,2026,ARIRANG,21159e3f-172e-43f6-aa7d-8e06a81fea49,bts_2026_arirang.jpg
Kodak Black,2017,Painting Pictures,e8fbb50c-1bc5-4f0d-b336-28046155e093,kodak_black_2017_painting_pictures.jpg
Kodak Black,2018,Dying to Live,cb5cbfa5-e068-4b1b-9628-86a6f823bc8c,kodak_black_2018_dying_to_live.jpg
Kodak Black,2020,Bill Israel,2920773b-90a6-4f60-994b-684f16d55733,kodak_black_2020_bill_israel.jpg
Kodak Black,2022,Back for Everything,7f85eacd-7567-4400-b01a-14b05df77f22,kodak_black_2022_back_for_everything.jpg
Kodak Black,2023,Pistolz & Pearlz,8adb4d3c-7967-4d85-99a5-c23634a7664d,kodak_black_2023_pistolz_pearlz.jpg
Kodak Black,2023,When I Was Dead,64e298e9-353e-4af0-a9f0-81dcd07a2e64,kodak_black_2023_when_i_was_dead.jpg
Kodak Black,2024,Vulture Love Presents: The Last Zombies on Earth,daba6a91-eabf-4429-ad73-7a2682bbc6fe,kodak_black_2024_vulture_love_presents_the_last_zombies_o.jpg
Kodak Black,2024,Dieuson Octave,36089fe5-6014-48b9-ab60-487bb0b1b8f1,kodak_black_2024_dieuson_octave.jpg
Kodak Black,2024,Trill Bill,098b7101-61ad-43fa-9d03-11ff33a00029,kodak_black_2024_trill_bill.jpg
Kodak Black,2025,Just Getting Started,29768736-cf39-467b-a7d5-d532beaf703e,kodak_black_2025_just_getting_started.jpg
Kodak Black,2026,Kodak The Blessing,888c52d2-77f1-482c-8bc1-287b49f7e8cb,kodak_black_2026_kodak_the_blessing.jpg
Bruce Springsteen,1973,"Greetings From Asbury Park, N.J.",c497fc44-ddaf-3cce-a9b4-bfec958a0f3c,bruce_springsteen_1973_greetings_from_asbury_park_n_j.jpg
Bruce Springsteen,1973,"The Wild, the Innocent & The E Street Shuffle",4b443e66-52a7-3cc9-a522-0dc64a6a51dc,bruce_springsteen_1973_the_wild_the_innocent_the_e_street_shuff.jpg
Bruce Springsteen,1975,Born to Run,39b22944-7503-3937-8bba-09b17281cc6a,bruce_springsteen_1975_born_to_run.jpg
