Artist 1,Album 1,Artist 2,Album 2,Similarity
Taylor Swift,Taylor Swift (2006),Taylor Swift,reputation (2017),27.3
Taylor Swift,Red (Taylor’s Version) (2021),Taylor Swift,The Vault (deluxe) (2021),27.3
Queen,Sheer Heart Attack (1974),Bruce Springsteen,Darkness on the Edge of Town (1978),27.2
Bruce Springsteen,"Greetings From Asbury Park, N.J. (1973)",Taylor Swift,reputation (2017),27.2
Bruce Springsteen,Born to Run (1975),Taylor Swift,Red (2012),27.2
Queen,Queen (1973),BTS,WINGS (2016),27.1
Bruce Springsteen,The River (1980),Taylor Swift,reputation (2017),27.1
Queen,Queen (1973),Taylor Swift,reputation (2017),27.0
Queen,Queen (1973),Taylor Swift,evermore (2020),26.9
Bruce Springsteen,"Greetings From Asbury Park, N.J. (1973)",Bruce Springsteen,Western Stars (2019),26.7
Bruce Springsteen,Born to Run (1975),Kodak Black,Trill Bill (2024),26.7
Queen,Queen (1973),Bruce Springsteen,"Greetings From Asbury Park, N.J. (1973)",26.5
Queen,Jazz (1978),Queen,Innuendo (1991),26.5
Queen,Sheer Heart Attack (1974),Queen,News of the World (1977),26.3
Queen,News of the World (1977),BTS,DARK&WILD (2014),26.3
Bruce Springsteen,Letter to You (2020),Taylor Swift,Speak Now (2010),26.3
Queen,News of the World (1977),Queen,The Miracle (1989),26.2
Queen,Queen (1973),Kodak Black,Trill Bill (2024),25.9
BTS,WINGS (2016),BTS,ARIRANG (2026),25.7
Queen,News of the World (1977),Bruce Springsteen,Devils & Dust (2005),25.6
Bruce Springsteen,Born to Run (1975),Taylor Swift,Taylor Swift (2006),25.6
Bruce Springsteen,Letter to You (2020),BTS,WINGS (2016),25.6
Queen,Queen (1973),Bruce Springsteen,The River (1980),25.5
Bruce Springsteen,Born to Run (1975),BTS,DARK&WILD (2014),25.5
Bruce Springsteen,We Shall Overcome: The Seeger Sessions (2006),BTS,ARIRANG (2026),25.4
Queen,A Day at the Races (1976),Taylor Swift,reputation (2017),25.3
Queen,News of the World (1977),Kodak Black,Kodak The Blessing (2026),25.3
Queen,Queen (1973),Queen,The Miracle (1989),25.1
Queen,Innuendo (1991),Taylor Swift,Taylor Swift (2006),25.1
Queen,Innuendo (1991),Kodak Black,Just Getting Started (2025),25.0
Bruce Springsteen,We Shall Overcome: The Seeger Sessions (2006),Taylor Swift,Taylor Swift (2006),25.0
Bruce Springsteen,Tunnel of Love (1987),Taylor Swift,The Vault (deluxe) (2021),24.8
Bruce Springsteen,We Shall Overcome: The Seeger Sessions (2006),Kodak Black,Kodak The Blessing (2026),24.7
Queen,Queen (1973),Taylor Swift,Lover (2019),24.5
Queen,The Works (1984),Bruce Springsteen,We Shall Overcome: The Seeger Sessions (2006),24.5
Bruce Springsteen,Darkness on the Edge of Town (1978),Kodak Black,Just Getting Started (2025),24.4
Queen,Queen (1973),Queen,A Night at the Opera (1975),24.2
Queen,Queen II (1974),Taylor Swift,reputation (2017),24.1
Bruce Springsteen,Darkness on the Edge of Town (1978),BTS,MAP OF THE SOUL : 7 〜 THE JOURNEY 〜 (2020),24.1
Taylor Swift,folklore (2020),Taylor Swift,Red (Taylor’s Version) (2021),24.1
Bruce Springsteen,Nebraska (1982),Bruce Springsteen,Western Stars (2019),24.0
Queen,Queen (1973),BTS,MAP OF THE SOUL : 7 (2020),23.9
Queen,Innuendo (1991),Taylor Swift,Red (2012),23.7
Queen,A Day at the Races (1976),Bruce Springsteen,We Shall Overcome: The Seeger Sessions (2006),23.6
Queen,A Kind of Magic (1986),Bruce Springsteen,Born to Run (1975),23.6
Bruce Springsteen,Darkness on the Edge of Town (1978),Kodak Black,Kodak The Blessing (2026),23.6
Queen,Sheer Heart Attack (1974),Queen,Innuendo (1991),23.5
Bruce Springsteen,We Shall Overcome: The Seeger Sessions (2006),BTS,DARK&WILD (2014),23.5
Bruce Springsteen,Born to Run (1975),Bruce Springsteen,The River (1980),23.4
Bruce Springsteen,Darkness on the Edge of Town (1978),BTS,DARK&WILD (2014),23.4
Kodak Black,Kodak The Blessing (2026),Taylor Swift,reputation (2017),23.4
Bruce Springsteen,High Hopes (2014),Taylor Swift,The Vault (deluxe) (2021),23.3
Kodak Black,Trill Bill (2024),Taylor Swift,1989 (2014),23.3
Bruce Springsteen,Western Stars (2019),Taylor Swift,folklore (2020),23.1
Queen,Queen II (1974),Bruce Springsteen,We Shall Overcome: The Seeger Sessions (2006),23.0
BTS,MAP OF THE SOUL : 7 〜 THE JOURNEY 〜 (2020),Taylor Swift,Speak Now (2010),23.0
Bruce Springsteen,Devils & Dust (2005),Taylor Swift,reputation (2017),22.9
Bruce Springsteen,We Shall Overcome: The Seeger Sessions (2006),Kodak Black,Vulture Love Presents: The Last Zombies on Earth (2024),22.9
BTS,WINGS (2016),Kodak Black,Just Getting Started (2025),22.9
Queen,A Day at the Races (1976),Bruce Springsteen,Darkness on the Edge of Town (1978),22.8
Bruce Springsteen,The River (1980),Taylor Swift,Fearless (2008),22.8
Queen,A Day at the Races (1976),Queen,News of the World (1977),22.6
Queen,The Miracle (1989),Taylor Swift,reputation (2017),22.6
Bruce Springsteen,"Greetings From Asbury Park, N.J. (1973)",Bruce Springsteen,Born to Run (1975),22.6
Bruce Springsteen,We Shall Overcome: The Seeger Sessions (2006),Kodak Black,Just Getting Started (2025),22.6
Bruce Springsteen,Western Stars (2019),Kodak Black,Vulture Love Presents: The Last Zombies on Earth (2024),22.5
Queen,Innuendo (1991),Kodak Black,Vulture Love Presents: The Last Zombies on Earth (2024),22.4
Bruce Springsteen,Tunnel of Love (1987),Taylor Swift,Red (Taylor’s Version) (2021),22.4
Queen,Queen II (1974),Queen,News of the World (1977),22.3
Queen,Sheer Heart Attack (1974),BTS,WINGS (2016),22.1
Kodak Black,Trill Bill (2024),Taylor Swift,Fearless (2008),22.0
Queen,The Miracle (1989),Bruce Springsteen,Western Stars (2019),21.9
Queen,Innuendo (1991),Kodak Black,Trill Bill (2024),21.8
Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",Bruce Springsteen,Tunnel of Love (1987),21.7
Queen,Queen II (1974),Bruce Springsteen,Darkness on the Edge of Town (1978),21.6
Bruce Springsteen,We Shall Overcome: The Seeger Sessions (2006),Taylor Swift,evermore (2020),21.6
Queen,A Day at the Races (1976),Bruce Springsteen,Born to Run (1975),21.5
Bruce Springsteen,Nebraska (1982),Bruce Springsteen,We Shall Overcome: The Seeger Sessions (2006),21.5
Bruce Springsteen,We Shall Overcome: The Seeger Sessions (2006),BTS,MAP OF THE SOUL : 7 〜 THE JOURNEY 〜 (2020),21.5
Queen,Jazz (1978),BTS,WINGS (2016),21.3
Queen,The Miracle (1989),Taylor Swift,Fearless (2008),21.3
Queen,Queen II (1974),Bruce Springsteen,Born to Run (1975),21.2
BTS,ARIRANG (2026),Taylor Swift,folklore (2020),21.2
Bruce Springsteen,Letter to You (2020),Taylor Swift,Lover (2019),21.1
Bruce Springsteen,Born to Run (1975),Kodak Black,Kodak The Blessing (2026),21.0
Bruce Springsteen,Human Touch (1992),Bruce Springsteen,Western Stars (2019),20.9
Queen,Queen (1973),Taylor Swift,Fearless (2008),20.8
Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",Taylor Swift,reputation (2017),20.8
Bruce Springsteen,Western Stars (2019),Taylor Swift,reputation (2017),20.6
Queen,The Game (1980),Queen,Innuendo (1991),20.4
Bruce Springsteen,Born to Run (1975),Bruce Springsteen,Devils & Dust (2005),20.4
Queen,The Miracle (1989),Bruce Springsteen,Born to Run (1975),20.3
Bruce Springsteen,The River (1980),Taylor Swift,1989 (2014),20.3
Queen,The Works (1984),Taylor Swift,The Vault (deluxe) (2021),20.2
Queen,Innuendo (1991),Bruce Springsteen,Western Stars (2019),20.1
BTS,ARIRANG (2026),Taylor Swift,Speak Now (2010),19.8
Queen,Jazz (1978),Bruce Springsteen,We Shall Overcome: The Seeger Sessions (2006),19.7
Queen,The Game (1980),Bruce Springsteen,We Shall Overcome: The Seeger Sessions (2006),19.7
Queen,The Game (1980),Bruce Springsteen,Western Stars (2019),19.5
Bruce Springsteen,Born to Run (1975),Taylor Swift,Red (Taylor’s Version) (2021),19.5
Bruce Springsteen,Tunnel of Love (1987),Bruce Springsteen,Human Touch (1992),19.5
BTS,WINGS (2016),Kodak Black,Vulture Love Presents: The Last Zombies on Earth (2024),19.3
Queen,Queen (1973),Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",19.2
BTS,WINGS (2016),Taylor Swift,Taylor Swift (2006),19.2
Queen,Innuendo (1991),Bruce Springsteen,The River (1980),18.9
Kodak Black,Trill Bill (2024),Taylor Swift,folklore (2020),18.9
Kodak Black,Trill Bill (2024),Taylor Swift,The Vault (deluxe) (2021),18.9
Queen,Queen (1973),Taylor Swift,Taylor Swift (2006),18.6
Queen,Sheer Heart Attack (1974),Taylor Swift,Speak Now (2010),18.4
Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",Bruce Springsteen,Born to Run (1975),18.3
Queen,Queen (1973),Bruce Springsteen,Human Touch (1992),18.2
Queen,A Night at the Opera (1975),BTS,MAP OF THE SOUL : 7 〜 THE JOURNEY 〜 (2020),18.2
Taylor Swift,Speak Now (2010),Taylor Swift,Red (2012),18.2
Queen,Innuendo (1991),Taylor Swift,Red (Taylor’s Version) (2021),18.1
BTS,MAP OF THE SOUL : 7 (2020),BTS,MAP OF THE SOUL : 7 〜 THE JOURNEY 〜 (2020),18.1
Kodak Black,Trill Bill (2024),Taylor Swift,Speak Now (2010),18.0
Queen,Queen (1973),Taylor Swift,1989 (2014),17.9
Queen,Innuendo (1991),BTS,DARK&WILD (2014),17.9
Queen,Made in Heaven (1995),Bruce Springsteen,We Shall Overcome: The Seeger Sessions (2006),17.8
Bruce Springsteen,Born to Run (1975),Bruce Springsteen,Western Stars (2019),17.7
Bruce Springsteen,Human Touch (1992),Taylor Swift,reputation (2017),17.6
Bruce Springsteen,Born to Run (1975),Taylor Swift,The Vault (deluxe) (2021),17.4
Taylor Swift,Taylor Swift (2006),Taylor Swift,Lover (2019),17.2
Queen,A Kind of Magic (1986),Queen,Innuendo (1991),17.1
Bruce Springsteen,Western Stars (2019),Taylor Swift,Fearless (2008),17.1
Bruce Springsteen,Letter to You (2020),Taylor Swift,Fearless (2008),17.0
BTS,WINGS (2016),Kodak Black,Trill Bill (2024),17.0
Kodak Black,Vulture Love Presents: The Last Zombies on Earth (2024),Taylor Swift,folklore (2020),17.0
Kodak Black,Just Getting Started (2025),Taylor Swift,Speak Now (2010),16.9
Queen,Queen (1973),Bruce Springsteen,Letter to You (2020),16.8
Bruce Springsteen,Darkness on the Edge of Town (1978),Bruce Springsteen,We Shall Overcome: The Seeger Sessions (2006),16.8
BTS,MAP OF THE SOUL : 7 〜 THE JOURNEY 〜 (2020),Taylor Swift,Fearless (2008),16.8
Queen,The Game (1980),BTS,WINGS (2016),16.4
Taylor Swift,Speak Now (2010),Taylor Swift,Red (Taylor’s Version) (2021),16.3
Queen,The Miracle (1989),Queen,Innuendo (1991),16.2
Queen,Innuendo (1991),Bruce Springsteen,"Greetings From Asbury Park, N.J. (1973)",16.2
Bruce Springsteen,The River (1980),Taylor Swift,Speak Now (2010),16.2
Bruce Springsteen,We Shall Overcome: The Seeger Sessions (2006),Taylor Swift,Red (2012),16.2
BTS,MAP OF THE SOUL : 7 〜 THE JOURNEY 〜 (2020),Taylor Swift,Lover (2019),16.2
Queen,Hot Space (1982),Taylor Swift,The Vault (deluxe) (2021),16.1
Queen,Jazz (1978),Taylor Swift,Speak Now (2010),16.0
Bruce Springsteen,We Shall Overcome: The Seeger Sessions (2006),Taylor Swift,Fearless (2008),16.0
BTS,DARK&WILD (2014),BTS,WINGS (2016),15.9
Bruce Springsteen,Born to Run (1975),Bruce Springsteen,Human Touch (1992),15.8
Bruce Springsteen,Western Stars (2019),Kodak Black,Just Getting Started (2025),15.6
Queen,Queen (1973),Taylor Swift,Red (Taylor’s Version) (2021),15.5
Queen,Innuendo (1991),Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",15.4
Bruce Springsteen,Western Stars (2019),BTS,DARK&WILD (2014),15.4
Bruce Springsteen,Nebraska (1982),Taylor Swift,The Vault (deluxe) (2021),15.3
Queen,Sheer Heart Attack (1974),Taylor Swift,Fearless (2008),15.2
Bruce Springsteen,The River (1980),BTS,WINGS (2016),14.9
Taylor Swift,Taylor Swift (2006),Taylor Swift,folklore (2020),14.9
Queen,Queen (1973),Queen,News of the World (1977),14.8
Queen,Hot Space (1982),Bruce Springsteen,Letter to You (2020),14.8
Queen,A Night at the Opera (1975),Bruce Springsteen,Letter to You (2020),14.7
Queen,News of the World (1977),Bruce Springsteen,We Shall Overcome: The Seeger Sessions (2006),14.7
BTS,WINGS (2016),Taylor Swift,Red (2012),14.7
Queen,Hot Space (1982),Taylor Swift,folklore (2020),14.5
Queen,Innuendo (1991),Taylor Swift,The Vault (deluxe) (2021),14.5
Queen,Jazz (1978),Taylor Swift,1989 (2014),14.3
Kodak Black,Vulture Love Presents: The Last Zombies on Earth (2024),Taylor Swift,Speak Now (2010),14.3
Kodak Black,Vulture Love Presents: The Last Zombies on Earth (2024),Taylor Swift,The Vault (deluxe) (2021),14.3
Bruce Springsteen,Western Stars (2019),Kodak Black,Kodak The Blessing (2026),14.2
Bruce Springsteen,Western Stars (2019),Taylor Swift,The Vault (deluxe) (2021),14.0
Taylor Swift,Speak Now (2010),Taylor Swift,The Vault (deluxe) (2021),14.0
Queen,A Night at the Opera (1975),Taylor Swift,Taylor Swift (2006),13.9
Queen,Queen (1973),Taylor Swift,folklore (2020),13.8
Queen,A Day at the Races (1976),Queen,Innuendo (1991),13.8
Queen,Queen II (1974),Queen,Innuendo (1991),13.6
Queen,Innuendo (1991),Kodak Black,Kodak The Blessing (2026),13.6
Queen,Innuendo (1991),Bruce Springsteen,Devils & Dust (2005),13.4
Queen,A Day at the Races (1976),Bruce Springsteen,Western Stars (2019),13.3
Bruce Springsteen,Letter to You (2020),BTS,MAP OF THE SOUL : 7 (2020),13.3
Queen,The Game (1980),Taylor Swift,1989 (2014),13.2
Bruce Springsteen,We Shall Overcome: The Seeger Sessions (2006),Bruce Springsteen,Letter to You (2020),13.2
Taylor Swift,Taylor Swift (2006),Taylor Swift,The Vault (deluxe) (2021),13.2
Taylor Swift,Fearless (2008),Taylor Swift,Red (Taylor’s Version) (2021),13.2
Queen,A Kind of Magic (1986),BTS,WINGS (2016),13.1
Queen,Queen (1973),Bruce Springsteen,Darkness on the Edge of Town (1978),13.0
Queen,Queen II (1974),Bruce Springsteen,Western Stars (2019),13.0
BTS,MAP OF THE SOUL : 7 (2020),Taylor Swift,Taylor Swift (2006),13.0
BTS,MAP OF THE SOUL : 7 〜 THE JOURNEY 〜 (2020),Taylor Swift,1989 (2014),12.9
BTS,ARIRANG (2026),Taylor Swift,Lover (2019),12.9
Queen,The Miracle (1989),BTS,WINGS (2016),12.8
Bruce Springsteen,Devils & Dust (2005),Bruce Springsteen,Western Stars (2019),12.8
Taylor Swift,Lover (2019),Taylor Swift,The Vault (deluxe) (2021),12.8
Queen,Innuendo (1991),Bruce Springsteen,Human Touch (1992),12.7
Taylor Swift,1989 (2014),Taylor Swift,Red (Taylor’s Version) (2021),12.7
Bruce Springsteen,"Greetings From Asbury Park, N.J. (1973)",BTS,WINGS (2016),12.6
Queen,Sheer Heart Attack (1974),Bruce Springsteen,Western Stars (2019),12.5
Queen,Made in Heaven (1995),Bruce Springsteen,Western Stars (2019),12.4
Queen,A Night at the Opera (1975),BTS,ARIRANG (2026),12.3
Queen,Hot Space (1982),Bruce Springsteen,Darkness on the Edge of Town (1978),12.3
Bruce Springsteen,Tunnel of Love (1987),Bruce Springsteen,Western Stars (2019),12.3
Queen,A Day at the Races (1976),BTS,WINGS (2016),12.2
Queen,Queen II (1974),BTS,WINGS (2016),12.1
Queen,The Game (1980),Taylor Swift,Speak Now (2010),12.1
BTS,WINGS (2016),Kodak Black,Kodak The Blessing (2026),12.0
BTS,MAP OF THE SOUL : 7 (2020),BTS,ARIRANG (2026),12.0
BTS,MAP OF THE SOUL : 7 〜 THE JOURNEY 〜 (2020),Taylor Swift,folklore (2020),12.0
BTS,ARIRANG (2026),Taylor Swift,Fearless (2008),12.0
Queen,Hot Space (1982),Taylor Swift,evermore (2020),11.9
Queen,Sheer Heart Attack (1974),Taylor Swift,1989 (2014),11.7
Bruce Springsteen,Devils & Dust (2005),BTS,WINGS (2016),11.7
Queen,The Miracle (1989),Taylor Swift,Speak Now (2010),11.6
Bruce Springsteen,Human Touch (1992),Taylor Swift,Speak Now (2010),11.6
Queen,Hot Space (1982),Bruce Springsteen,Nebraska (1982),11.5
BTS,ARIRANG (2026),Taylor Swift,1989 (2014),11.5
Bruce Springsteen,Western Stars (2019),BTS,MAP OF THE SOUL : 7 〜 THE JOURNEY 〜 (2020),11.4
BTS,ARIRANG (2026),Taylor Swift,The Vault (deluxe) (2021),11.3
Taylor Swift,Red (2012),Taylor Swift,1989 (2014),11.3
Queen,Sheer Heart Attack (1974),Queen,A Night at the Opera (1975),11.1
Bruce Springsteen,The River (1980),Taylor Swift,The Vault (deluxe) (2021),11.1
Queen,Hot Space (1982),Taylor Swift,Taylor Swift (2006),11.0
BTS,MAP OF THE SOUL : 7 (2020),Kodak Black,Just Getting Started (2025),11.0
Queen,A Night at the Opera (1975),Kodak Black,Just Getting Started (2025),10.9
Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",Taylor Swift,Fearless (2008),10.7
Kodak Black,Just Getting Started (2025),Taylor Swift,Lover (2019),10.7
Queen,Sheer Heart Attack (1974),BTS,MAP OF THE SOUL : 7 (2020),10.6
Queen,News of the World (1977),Queen,Hot Space (1982),10.6
BTS,DARK&WILD (2014),Taylor Swift,Speak Now (2010),10.5
Kodak Black,Just Getting Started (2025),Taylor Swift,Fearless (2008),10.5
Kodak Black,Just Getting Started (2025),Taylor Swift,folklore (2020),10.4
Queen,Jazz (1978),Taylor Swift,Lover (2019),10.3
Queen,Hot Space (1982),Taylor Swift,Red (2012),10.3
Queen,The Miracle (1989),Taylor Swift,1989 (2014),10.3
Bruce Springsteen,"Greetings From Asbury Park, N.J. (1973)",Taylor Swift,folklore (2020),10.3
BTS,WINGS (2016),Taylor Swift,Red (Taylor’s Version) (2021),10.2
Queen,Sheer Heart Attack (1974),Taylor Swift,Lover (2019),10.1
Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",Taylor Swift,Speak Now (2010),10.0
Bruce Springsteen,The River (1980),Taylor Swift,folklore (2020),10.0
Queen,A Kind of Magic (1986),Taylor Swift,Speak Now (2010),9.9
Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",BTS,WINGS (2016),9.9
Queen,Hot Space (1982),Taylor Swift,reputation (2017),9.8
Bruce Springsteen,"Greetings From Asbury Park, N.J. (1973)",Taylor Swift,The Vault (deluxe) (2021),9.8
Kodak Black,Vulture Love Presents: The Last Zombies on Earth (2024),Taylor Swift,1989 (2014),9.8
BTS,DARK&WILD (2014),Taylor Swift,folklore (2020),9.6
Queen,Hot Space (1982),Taylor Swift,Red (Taylor’s Version) (2021),9.3
Kodak Black,Vulture Love Presents: The Last Zombies on Earth (2024),Taylor Swift,Fearless (2008),9.2
Queen,Flash Gordon (1980),Bruce Springsteen,We Shall Overcome: The Seeger Sessions (2006),9.1
Taylor Swift,Fearless (2008),Taylor Swift,Red (2012),9.1
Queen,Sheer Heart Attack (1974),Taylor Swift,folklore (2020),9.0
BTS,WINGS (2016),Taylor Swift,The Vault (deluxe) (2021),9.0
Queen,A Kind of Magic (1986),Taylor Swift,folklore (2020),8.9
Bruce Springsteen,Western Stars (2019),Taylor Swift,1989 (2014),8.9
Bruce Springsteen,"Greetings From Asbury Park, N.J. (1973)",Taylor Swift,Speak Now (2010),8.8
Bruce Springsteen,Human Touch (1992),BTS,WINGS (2016),8.7
Queen,Flash Gordon (1980),Queen,A Kind of Magic (1986),8.6
Kodak Black,Trill Bill (2024),Taylor Swift,Lover (2019),8.6
Kodak Black,Just Getting Started (2025),Taylor Swift,1989 (2014),8.2
Queen,Hot Space (1982),Bruce Springsteen,Western Stars (2019),8.1
Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",Taylor Swift,folklore (2020),8.0
Bruce Springsteen,Western Stars (2019),BTS,WINGS (2016),7.9
Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",Taylor Swift,1989 (2014),7.8
BTS,DARK&WILD (2014),Taylor Swift,The Vault (deluxe) (2021),7.8
Queen,A Night at the Opera (1975),Queen,Jazz (1978),7.6
Queen,A Day at the Races (1976),Taylor Swift,Speak Now (2010),7.6
Queen,The Game (1980),Taylor Swift,Lover (2019),7.6
Bruce Springsteen,Devils & Dust (2005),Taylor Swift,Speak Now (2010),7.6
Bruce Springsteen,Western Stars (2019),Taylor Swift,Speak Now (2010),7.6
Kodak Black,Vulture Love Presents: The Last Zombies on Earth (2024),Taylor Swift,Lover (2019),7.5
Bruce Springsteen,The River (1980),Taylor Swift,Lover (2019),7.4
Taylor Swift,Red (2012),Taylor Swift,Lover (2019),7.4
Queen,Jazz (1978),Taylor Swift,Fearless (2008),7.3
Queen,A Kind of Magic (1986),Taylor Swift,The Vault (deluxe) (2021),7.3
Bruce Springsteen,Tunnel of Love (1987),Bruce Springsteen,We Shall Overcome: The Seeger Sessions (2006),7.2
Queen,Queen II (1974),Taylor Swift,Speak Now (2010),7.1
Kodak Black,Kodak The Blessing (2026),Taylor Swift,Speak Now (2010),7.1
Queen,Jazz (1978),BTS,MAP OF THE SOUL : 7 (2020),7.0
Queen,Hot Space (1982),Taylor Swift,1989 (2014),6.9
Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",Taylor Swift,The Vault (deluxe) (2021),6.8
Queen,A Kind of Magic (1986),Taylor Swift,Fearless (2008),6.7
Queen,A Night at the Opera (1975),Kodak Black,Vulture Love Presents: The Last Zombies on Earth (2024),6.5
Queen,Flash Gordon (1980),Bruce Springsteen,"Greetings From Asbury Park, N.J. (1973)",6.5
Queen,The Game (1980),Queen,Hot Space (1982),6.5
Queen,A Night at the Opera (1975),Kodak Black,Trill Bill (2024),6.4
Queen,Queen (1973),Bruce Springsteen,We Shall Overcome: The Seeger Sessions (2006),6.3
Queen,Hot Space (1982),Bruce Springsteen,High Hopes (2014),6.3
BTS,MAP OF THE SOUL : 7 (2020),Kodak Black,Vulture Love Presents: The Last Zombies on Earth (2024),6.3
Queen,Jazz (1978),Queen,Hot Space (1982),6.2
Queen,Hot Space (1982),Taylor Swift,Speak Now (2010),6.2
Bruce Springsteen,Western Stars (2019),Taylor Swift,Lover (2019),6.1
Queen,A Day at the Races (1976),Taylor Swift,The Vault (deluxe) (2021),6.0
Bruce Springsteen,Human Touch (1992),Taylor Swift,Fearless (2008),6.0
Taylor Swift,Lover (2019),Taylor Swift,Red (Taylor’s Version) (2021),6.0
Bruce Springsteen,We Shall Overcome: The Seeger Sessions (2006),Taylor Swift,Speak Now (2010),5.9
Queen,Hot Space (1982),Queen,The Works (1984),5.8
Queen,Hot Space (1982),Bruce Springsteen,Tunnel of Love (1987),5.8
Queen,Hot Space (1982),Kodak Black,Trill Bill (2024),5.8
Queen,Hot Space (1982),Bruce Springsteen,"Greetings From Asbury Park, N.J. (1973)",5.7
Queen,A Day at the Races (1976),Taylor Swift,folklore (2020),5.6
BTS,MAP OF THE SOUL : 7 (2020),Kodak Black,Trill Bill (2024),5.5
Queen,The Miracle (1989),Taylor Swift,folklore (2020),5.4
Bruce Springsteen,"Greetings From Asbury Park, N.J. (1973)",Taylor Swift,Fearless (2008),5.4
Bruce Springsteen,We Shall Overcome: The Seeger Sessions (2006),Taylor Swift,reputation (2017),5.4
Queen,Sheer Heart Attack (1974),Queen,Hot Space (1982),5.3
Bruce Springsteen,We Shall Overcome: The Seeger Sessions (2006),Bruce Springsteen,Western Stars (2019),5.2
Taylor Swift,Fearless (2008),Taylor Swift,The Vault (deluxe) (2021),5.1
Queen,Hot Space (1982),Bruce Springsteen,The River (1980),5.0
Bruce Springsteen,Born to Run (1975),Bruce Springsteen,We Shall Overcome: The Seeger Sessions (2006),5.0
Queen,A Night at the Opera (1975),Bruce Springsteen,The River (1980),4.9
Queen,A Night at the Opera (1975),Taylor Swift,The Vault (deluxe) (2021),4.9
Queen,Hot Space (1982),Queen,Innuendo (1991),4.9
Queen,Hot Space (1982),Bruce Springsteen,Born to Run (1975),4.9
Queen,Made in Heaven (1995),Taylor Swift,The Vault (deluxe) (2021),4.9
Queen,Innuendo (1991),Bruce Springsteen,We Shall Overcome: The Seeger Sessions (2006),4.8
Bruce Springsteen,Human Touch (1992),Taylor Swift,The Vault (deluxe) (2021),4.8
Bruce Springsteen,Human Touch (1992),Taylor Swift,folklore (2020),4.6
Kodak Black,Just Getting Started (2025),Taylor Swift,The Vault (deluxe) (2021),4.6
Queen,Sheer Heart Attack (1974),Taylor Swift,The Vault (deluxe) (2021),4.5
Queen,Hot Space (1982),Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",4.5
Bruce Springsteen,The River (1980),BTS,MAP OF THE SOUL : 7 (2020),4.5
Queen,Flash Gordon (1980),Bruce Springsteen,High Hopes (2014),4.4
Queen,The Miracle (1989),Taylor Swift,The Vault (deluxe) (2021),4.4
BTS,DARK&WILD (2014),Taylor Swift,Fearless (2008),4.2
Queen,Hot Space (1982),Taylor Swift,Lover (2019),4.0
Queen,The Miracle (1989),Taylor Swift,Lover (2019),4.0
Bruce Springsteen,"Greetings From Asbury Park, N.J. (1973)",Taylor Swift,1989 (2014),4.0
BTS,DARK&WILD (2014),Taylor Swift,1989 (2014),4.0
Queen,Flash Gordon (1980),Queen,The Miracle (1989),3.9
Queen,The Game (1980),Taylor Swift,Fearless (2008),3.9
Queen,Hot Space (1982),BTS,MAP OF THE SOUL : 7 (2020),3.9
Queen,Hot Space (1982),Taylor Swift,Fearless (2008),3.9
Bruce Springsteen,Devils & Dust (2005),Taylor Swift,Fearless (2008),3.8
BTS,DARK&WILD (2014),Taylor Swift,Lover (2019),3.8
Queen,A Night at the Opera (1975),Queen,The Miracle (1989),3.7
Queen,A Night at the Opera (1975),Queen,The Game (1980),3.6
Queen,Hot Space (1982),BTS,ARIRANG (2026),3.6
Queen,Queen (1973),Bruce Springsteen,Western Stars (2019),3.4
Queen,Queen II (1974),Taylor Swift,folklore (2020),3.4
Queen,A Night at the Opera (1975),BTS,DARK&WILD (2014),3.4
Queen,The Miracle (1989),BTS,MAP OF THE SOUL : 7 (2020),3.4
Queen,Hot Space (1982),BTS,WINGS (2016),3.3
BTS,DARK&WILD (2014),BTS,MAP OF THE SOUL : 7 (2020),3.3
BTS,MAP OF THE SOUL : 7 (2020),Taylor Swift,The Vault (deluxe) (2021),3.3
Queen,Queen II (1974),Taylor Swift,The Vault (deluxe) (2021),3.2
Queen,Queen (1973),Taylor Swift,The Vault (deluxe) (2021),3.1
Bruce Springsteen,We Shall Overcome: The Seeger Sessions (2006),BTS,WINGS (2016),3.1
BTS,MAP OF THE SOUL : 7 〜 THE JOURNEY 〜 (2020),Taylor Swift,The Vault (deluxe) (2021),3.0
Queen,Sheer Heart Attack (1974),Queen,Flash Gordon (1980),2.9
Queen,A Night at the Opera (1975),Queen,Hot Space (1982),2.9
Queen,Flash Gordon (1980),Kodak Black,Trill Bill (2024),2.9
Queen,Flash Gordon (1980),Taylor Swift,Taylor Swift (2006),2.9
Queen,The Game (1980),BTS,MAP OF THE SOUL : 7 (2020),2.9
Queen,Hot Space (1982),Queen,A Kind of Magic (1986),2.9
