Artist 1,Album 1,Artist 2,Album 2,Similarity
Queen,A Day at the Races (1976),Bruce Springsteen,The River (1980),87.8
Queen,A Day at the Races (1976),Kodak Black,Trill Bill (2024),87.8
Queen,Made in Heaven (1995),Bruce Springsteen,Nebraska (1982),87.7
BTS,DARK&WILD (2014),Kodak Black,Trill Bill (2024),87.7
Queen,Queen II (1974),Kodak Black,Trill Bill (2024),87.6
Bruce Springsteen,"Greetings From Asbury Park, N.J. (1973)",Kodak Black,Trill Bill (2024),87.4
BTS,MAP OF THE SOUL : 7 (2020),Taylor Swift,Lover (2019),87.4
Queen,Made in Heaven (1995),Kodak Black,Just Getting Started (2025),87.0
BTS,WINGS (2016),Taylor Swift,Lover (2019),87.0
Bruce Springsteen,The River (1980),BTS,DARK&WILD (2014),86.9
Bruce Springsteen,"Greetings From Asbury Park, N.J. (1973)",Bruce Springsteen,The River (1980),86.8
Bruce Springsteen,Tunnel of Love (1987),Taylor Swift,Speak Now (2010),86.8
Kodak Black,Trill Bill (2024),Kodak Black,Just Getting Started (2025),86.7
Bruce Springsteen,The River (1980),Kodak Black,Just Getting Started (2025),86.6
Queen,Innuendo (1991),Taylor Swift,Lover (2019),86.2
Taylor Swift,reputation (2017),Taylor Swift,folklore (2020),86.2
BTS,ARIRANG (2026),Kodak Black,Trill Bill (2024),86.1
Queen,Sheer Heart Attack (1974),Queen,The Miracle (1989),86.0
Queen,Jazz (1978),Kodak Black,Trill Bill (2024),86.0
Bruce Springsteen,Human Touch (1992),Taylor Swift,Red (Taylor’s Version) (2021),85.7
Taylor Swift,folklore (2020),Taylor Swift,The Vault (deluxe) (2021),85.7
Queen,A Night at the Opera (1975),Taylor Swift,Fearless (2008),85.6
Bruce Springsteen,The River (1980),BTS,MAP OF THE SOUL : 7 〜 THE JOURNEY 〜 (2020),85.6
BTS,MAP OF THE SOUL : 7 〜 THE JOURNEY 〜 (2020),Kodak Black,Trill Bill (2024),85.4
Bruce Springsteen,Born to Run (1975),Taylor Swift,Lover (2019),85.3
Queen,A Kind of Magic (1986),Queen,The Miracle (1989),85.2
Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",Kodak Black,Trill Bill (2024),85.2
BTS,MAP OF THE SOUL : 7 (2020),Taylor Swift,Fearless (2008),85.2
Queen,The Game (1980),Kodak Black,Trill Bill (2024),84.9
BTS,ARIRANG (2026),Taylor Swift,Red (2012),84.8
Bruce Springsteen,Tunnel of Love (1987),Taylor Swift,Lover (2019),84.5
Bruce Springsteen,Tunnel of Love (1987),Taylor Swift,Fearless (2008),84.3
Bruce Springsteen,High Hopes (2014),Kodak Black,Trill Bill (2024),84.1
BTS,WINGS (2016),Taylor Swift,Fearless (2008),84.0
Queen,A Night at the Opera (1975),Taylor Swift,reputation (2017),83.6
Queen,Jazz (1978),Queen,The Works (1984),83.6
Queen,The Miracle (1989),Kodak Black,Just Getting Started (2025),83.6
Bruce Springsteen,Nebraska (1982),Bruce Springsteen,Tunnel of Love (1987),83.4
Queen,Sheer Heart Attack (1974),Queen,Made in Heaven (1995),83.2
Queen,The Miracle (1989),Kodak Black,Vulture Love Presents: The Last Zombies on Earth (2024),83.2
Queen,Made in Heaven (1995),Kodak Black,Vulture Love Presents: The Last Zombies on Earth (2024),83.2
Queen,Innuendo (1991),Taylor Swift,Fearless (2008),83.1
Queen,The Miracle (1989),Bruce Springsteen,Devils & Dust (2005),83.0
Bruce Springsteen,The River (1980),BTS,ARIRANG (2026),83.0
Queen,Jazz (1978),Taylor Swift,Red (2012),82.8
Queen,A Day at the Races (1976),Queen,The Miracle (1989),82.7
BTS,MAP OF THE SOUL : 7 (2020),Taylor Swift,reputation (2017),82.7
Queen,The Works (1984),Queen,Made in Heaven (1995),82.6
Bruce Springsteen,Letter to You (2020),Taylor Swift,Red (2012),82.5
Queen,The Miracle (1989),Kodak Black,Kodak The Blessing (2026),82.4
Queen,Made in Heaven (1995),BTS,DARK&WILD (2014),82.4
Queen,The Miracle (1989),BTS,DARK&WILD (2014),82.3
Queen,Queen II (1974),Queen,The Miracle (1989),82.1
Queen,Jazz (1978),Bruce Springsteen,The River (1980),82.0
Bruce Springsteen,The River (1980),Taylor Swift,Taylor Swift (2006),82.0
Taylor Swift,Speak Now (2010),Taylor Swift,Lover (2019),81.9
Bruce Springsteen,Nebraska (1982),Taylor Swift,evermore (2020),81.8
Queen,The Miracle (1989),BTS,MAP OF THE SOUL : 7 〜 THE JOURNEY 〜 (2020),81.6
Queen,The Game (1980),Bruce Springsteen,The River (1980),81.5
Queen,The Miracle (1989),Bruce Springsteen,"Greetings From Asbury Park, N.J. (1973)",81.5
Bruce Springsteen,Born to Run (1975),Taylor Swift,Fearless (2008),81.2
Queen,Made in Heaven (1995),BTS,ARIRANG (2026),81.1
Bruce Springsteen,Born to Run (1975),Bruce Springsteen,Nebraska (1982),81.1
Queen,The Miracle (1989),Kodak Black,Trill Bill (2024),81.0
Bruce Springsteen,Nebraska (1982),BTS,MAP OF THE SOUL : 7 〜 THE JOURNEY 〜 (2020),81.0
Queen,Queen II (1974),Queen,Made in Heaven (1995),80.9
Queen,A Day at the Races (1976),Queen,Made in Heaven (1995),80.9
Taylor Swift,Fearless (2008),Taylor Swift,Speak Now (2010),80.9
Queen,The Works (1984),Bruce Springsteen,High Hopes (2014),80.8
Taylor Swift,Red (2012),Taylor Swift,evermore (2020),80.8
Queen,The Works (1984),Kodak Black,Vulture Love Presents: The Last Zombies on Earth (2024),80.7
Bruce Springsteen,Nebraska (1982),BTS,ARIRANG (2026),80.7
Kodak Black,Trill Bill (2024),Taylor Swift,Taylor Swift (2006),80.7
Queen,The Miracle (1989),Bruce Springsteen,The River (1980),80.6
Queen,Made in Heaven (1995),Kodak Black,Kodak The Blessing (2026),80.5
Bruce Springsteen,Darkness on the Edge of Town (1978),Taylor Swift,Taylor Swift (2006),80.5
Queen,The Works (1984),Kodak Black,Trill Bill (2024),80.4
Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",Bruce Springsteen,The River (1980),80.3
Taylor Swift,Red (2012),Taylor Swift,Red (Taylor’s Version) (2021),80.2
Queen,Jazz (1978),Taylor Swift,evermore (2020),79.9
Kodak Black,Trill Bill (2024),Taylor Swift,Red (Taylor’s Version) (2021),79.9
Queen,The Works (1984),BTS,MAP OF THE SOUL : 7 〜 THE JOURNEY 〜 (2020),79.8
Queen,A Kind of Magic (1986),Taylor Swift,Red (2012),79.8
Bruce Springsteen,Nebraska (1982),Bruce Springsteen,High Hopes (2014),79.7
Taylor Swift,Speak Now (2010),Taylor Swift,reputation (2017),79.7
Queen,A Kind of Magic (1986),Queen,Made in Heaven (1995),79.6
Kodak Black,Trill Bill (2024),Taylor Swift,Red (2012),79.6
Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",Bruce Springsteen,Devils & Dust (2005),79.2
Bruce Springsteen,The River (1980),Bruce Springsteen,High Hopes (2014),79.0
Queen,The Works (1984),Kodak Black,Just Getting Started (2025),78.9
Queen,The Works (1984),Queen,A Kind of Magic (1986),78.8
Queen,Made in Heaven (1995),Bruce Springsteen,Devils & Dust (2005),78.8
Taylor Swift,reputation (2017),Taylor Swift,evermore (2020),78.8
Bruce Springsteen,The River (1980),Taylor Swift,Red (2012),78.7
Queen,Sheer Heart Attack (1974),Bruce Springsteen,Nebraska (1982),78.6
Bruce Springsteen,Nebraska (1982),Taylor Swift,reputation (2017),78.6
Queen,Jazz (1978),Queen,Made in Heaven (1995),78.5
Kodak Black,Vulture Love Presents: The Last Zombies on Earth (2024),Taylor Swift,Red (2012),78.4
Queen,Sheer Heart Attack (1974),Queen,The Works (1984),77.8
Queen,The Game (1980),Queen,Made in Heaven (1995),77.7
Bruce Springsteen,Nebraska (1982),Kodak Black,Just Getting Started (2025),77.5
Taylor Swift,reputation (2017),Taylor Swift,Lover (2019),77.5
Queen,Sheer Heart Attack (1974),Bruce Springsteen,High Hopes (2014),77.4
BTS,ARIRANG (2026),Taylor Swift,evermore (2020),77.4
Taylor Swift,Fearless (2008),Taylor Swift,1989 (2014),77.3
Queen,The Miracle (1989),BTS,ARIRANG (2026),77.2
Queen,The Works (1984),Taylor Swift,Red (2012),77.0
Taylor Swift,Fearless (2008),Taylor Swift,Lover (2019),77.0
Queen,The Works (1984),BTS,DARK&WILD (2014),76.8
Queen,The Miracle (1989),Bruce Springsteen,High Hopes (2014),76.8
Queen,Made in Heaven (1995),Bruce Springsteen,"Greetings From Asbury Park, N.J. (1973)",76.7
Queen,The Game (1980),Taylor Swift,Red (2012),76.5
Queen,Innuendo (1991),Bruce Springsteen,Nebraska (1982),76.5
Bruce Springsteen,Human Touch (1992),Kodak Black,Trill Bill (2024),76.5
Queen,Jazz (1978),Bruce Springsteen,Nebraska (1982),76.4
Bruce Springsteen,Nebraska (1982),Kodak Black,Vulture Love Presents: The Last Zombies on Earth (2024),76.4
Bruce Springsteen,High Hopes (2014),Taylor Swift,evermore (2020),76.2
Queen,The Game (1980),Queen,The Works (1984),76.0
Queen,The Game (1980),Queen,The Miracle (1989),76.0
Bruce Springsteen,The River (1980),Taylor Swift,Red (Taylor’s Version) (2021),76.0
Bruce Springsteen,"Greetings From Asbury Park, N.J. (1973)",Taylor Swift,Red (2012),75.7
Queen,Jazz (1978),Queen,The Miracle (1989),75.4
Queen,Sheer Heart Attack (1974),Bruce Springsteen,Human Touch (1992),75.1
Queen,Jazz (1978),Bruce Springsteen,Letter to You (2020),75.0
Queen,A Kind of Magic (1986),Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",74.9
Queen,The Works (1984),Bruce Springsteen,The River (1980),74.8
Queen,The Works (1984),Bruce Springsteen,Devils & Dust (2005),74.7
Bruce Springsteen,Nebraska (1982),BTS,WINGS (2016),74.5
Queen,The Works (1984),Bruce Springsteen,"Greetings From Asbury Park, N.J. (1973)",74.4
Bruce Springsteen,Human Touch (1992),Bruce Springsteen,Devils & Dust (2005),74.3
Taylor Swift,evermore (2020),Taylor Swift,Red (Taylor’s Version) (2021),74.3
